text,time,long,lat,target
pic.twitter.com/3VCVQKyBmm,2019-08-20 10:00:00,34.1826,-118.4397,0
"Tuesday, i saw no more #ghosttownalive founders day banner. I get it. When I worked @great America, Tues- fri after Labor day weekend was trip week w my park buddies, i.e. The infamous Lake Shasta houseboat trips.… https://www.instagram.com/p/B2DIFfJgKEb/?igshid=1wy4cc6vohw27 …",2019-08-20 10:00:00,34.1826,-118.4397,0
Of course ALL THE ABOVE!!,2019-08-20 10:00:00,34.1826,-118.4397,0
I'm too busy looking for the talent.,2019-08-20 10:00:00,34.1826,-118.4397,0
Lucky enough to celebrate the end of Justin’s treatment while at Kaiser Permanente with @Tymiller01 and #LAFC. Amazing time visiting and playing with the other patients in the pediatric clinic. Justin will join us at the Banc on 9/21 as our honorary falconer!pic.twitter.com/hFvEO47w5l – at Kaiser Permanente Hospital,2019-08-20 10:00:00,34.1826,-118.4397,0
Just 2k for now. I probably wouldn’t even touch any other game for a bit. It’s pre loading as we speak lol,2019-08-20 10:00:00,34.1826,-118.4397,0
No.,2019-08-20 10:00:00,34.1826,-118.4397,0
I’ll pray for Sierra Vista,2019-08-20 10:00:00,34.1826,-118.4397,0
@JulieChen please let me in i drove six hours to be here and got cut off and now i’m sitting in ur parking lot CRYINGpic.twitter.com/85EPzb44Ka,2019-08-20 10:00:00,34.1826,-118.4397,0
"If you think men in their 60s and 70s can't be petty af, remember that Keith Richards dubbed Mick Jagger's 2001 album 'Goddess In The Doorway' ""dogshit in the doorway.""",2019-08-20 10:00:00,34.1826,-118.4397,0
Omg,2019-08-20 10:00:00,34.1826,-118.4397,0
pic.twitter.com/cyS4ANbBxT,2019-08-20 10:00:00,34.1826,-118.4397,0
And it's unlikely either of those things affected his referenced sentencing considering his crimes,2019-08-20 10:00:00,34.1826,-118.4397,0
When you’re so lonely that you have so many bottled up things to express but nobody to ever express them too. They begin to dissolve ever so slowly,2019-08-20 10:00:00,34.1826,-118.4397,0
"***correction ""You know how many Soulection shows I can go to for this price?"" Haha. but I'm with you 1000% on the vibe.",2019-08-20 10:00:00,34.1826,-118.4397,0
There’s a dude on StR who keeps rubbing it into people’s faces that he guessed it perfectly,2019-08-20 10:00:00,34.1826,-118.4397,0
Thank you @OntarioPD @OntarioPDChief for finding @OntarioHS stolen band equipment!!! We appreciate you!https://twitter.com/OntarioPD/status/1169760484393795584 …,2019-08-20 10:00:00,34.1826,-118.4397,0
I like how Merced wasnt even mentioned https://twitter.com/sernaa_/status/1169347759310114816 …pic.twitter.com/oMMLst7UEY,2019-08-20 10:00:00,34.1826,-118.4397,0
So @EmmaVigeland won’t stop crying. So @Fiorella_im has words for her. Tune in! WARren is on the take again.https://youtu.be/9DGvO9MCZLw,2019-08-20 10:00:00,34.1826,-118.4397,0
^*Watch god do it,2019-08-20 10:00:00,34.1826,-118.4397,0
Can’t wait for December,2019-08-20 10:00:00,34.1826,-118.4397,0
pic.twitter.com/qp1DPdDbfQ,2019-08-20 10:00:00,34.1826,-118.4397,0
pic.twitter.com/VdTsCGuhNZ,2019-08-20 10:00:00,34.1826,-118.4397,0
I fucking need this In my life!!!!!!https://twitter.com/juliepalmtrees/status/1169741386381484033 …,2019-08-20 10:00:00,34.1826,-118.4397,0
"Yet another npr piece referring to Marion Anderson's bravery in the face of DAR behavior, but it was Eleanor Roosevelt who arranged her concert at the nations Capitol when DAR turned Marion down; Eleanor quit the DAR over this! This was the races joining to support great artists!",2019-08-20 10:00:00,34.1826,-118.4397,0
everyone please follow @sixpointos you won’t regret I promise,2019-08-20 10:00:00,34.1826,-118.4397,0
https://twitter.com/SMIFF_FOM/status/1168582895197462529 …pic.twitter.com/GsYuVGkuLa,2019-08-20 10:00:00,34.1826,-118.4397,0
#CRXSanJose19 pic.twitter.com/bn54lgrjAh – at Lids,2019-08-20 10:00:00,34.1826,-118.4397,0
private event going down next week ! rsvp will be up tomorrow keep an eye out pic.twitter.com/Gl8fFdYFor,2019-08-20 10:00:00,34.1826,-118.4397,0
Smart!!!,2019-08-20 10:00:00,34.1826,-118.4397,0
The best chili chefs in the City of Inglewood will be at North Park this Saturday during the 6th Annual District 2 Picnic and Chili Cook Off! What's your favorite kind of chili? #food #picnic #Inglewood #thisweekend… https://www.instagram.com/p/B2DH8KzBkvM/?igshid=18vmgb6wp0afc …,2019-08-20 10:00:00,34.1826,-118.4397,0
"Just posted a photo @Los Angeles, California https://www.instagram.com/p/B2DIB51A6-F/?igshid=1xdg0oveipznl …",2019-08-20 10:00:00,34.1826,-118.4397,0
Frfr,2019-08-20 10:00:00,34.1826,-118.4397,0
Man wtf https://twitter.com/PaisaTweets_/status/1168736810467495936 …,2019-08-20 10:00:00,34.1826,-118.4397,0
Nagdala dapat. #ABSCBNBallFanFave Daniel Padilla #ABSCBNBallFanFave Kathryn Bernardo @imdanielpadilla @bernardokathhttps://twitter.com/ukgdos/status/1169738277823234049 …,2019-08-20 10:00:00,34.1826,-118.4397,0
how did this blow up??https://twitter.com/clickbaitcit/status/1169466477256118272 …,2019-08-20 10:00:00,34.1826,-118.4397,0
"Called him Satan and a white devil, and tried to punch him in the face. Lol",2019-08-20 10:00:00,34.1826,-118.4397,0
LMFAOOOOOOOOOOOOOOOhttps://twitter.com/BSO/status/1169113057836044288 …,2019-08-20 10:00:00,34.1826,-118.4397,0
God bless these players.https://twitter.com/fox5dc/status/1169735708942245888 …,2019-08-20 10:00:00,34.1826,-118.4397,0
"Love this! One of my awesome former students Jesse Venegas is highlighted in this ad for our district. He was an incredible kid, and is now an outstanding math teacher at his alma mater, Arroyo Valley HS. @SB_CitySchools @SBCo_Supt_Tedhttps://twitter.com/SB_CitySchools/status/1169656481974820864 …",2019-08-20 10:00:00,34.1826,-118.4397,0
The Steelers right about nowpic.twitter.com/5pvbweMCDj,2019-08-20 10:00:00,34.1826,-118.4397,0
*26 https://twitter.com/lameravioli/status/1169344019639558145 …,2019-08-20 10:00:00,34.1826,-118.4397,0
i wish a stupendous week upon youpic.twitter.com/NuPg8QoRog,2019-08-20 10:00:00,34.1826,-118.4397,0
Ikr,2019-08-20 10:00:00,34.1826,-118.4397,0
Count me in...for science purposes of course pic.twitter.com/pRUFLdxw2A,2019-08-20 10:00:00,34.1826,-118.4397,0
My cousin is a fool,2019-08-20 10:00:00,34.1826,-118.4397,0
Patiently waiting on November 1sthttps://twitter.com/sjackson_099/status/1169748057396666368 …,2019-08-20 10:00:00,34.1826,-118.4397,0
I can’t fucking wait to play this once I get home Sunday waited too long for this one!https://twitter.com/Xbox/status/1169686704397012993 …,2019-08-20 10:00:00,34.1826,-118.4397,0
"Wtf is going on, why meek mill performing #NFLKickoff",2019-08-20 10:00:00,34.1826,-118.4397,0
Smh who hurt u that got a spine tat,2019-08-20 10:00:00,34.1826,-118.4397,0
Ain’t it the truth...https://twitter.com/CaslerNoel/status/1169752374535237632 …,2019-08-20 10:00:00,34.1826,-118.4397,0
can i call you?,2019-08-20 10:00:00,34.1826,-118.4397,0
From the happiest place on earth! #disneyland #GoPackGo https://twitter.com/packers/status/1169759643343695872 …pic.twitter.com/gf2a6o2wLf,2019-08-20 10:00:00,34.1826,-118.4397,0
MEEK KILLIN THAT SHIT RN,2019-08-20 10:00:00,34.1826,-118.4397,0
Somebody's brother probably owns a lightbulb co in China,2019-08-20 10:00:00,34.1826,-118.4397,0
This is how we all die,2019-08-20 10:00:00,34.1826,-118.4397,0
My dms are open for MEMESpic.twitter.com/CTZi5J76Vf,2019-08-20 10:00:00,34.1826,-118.4397,0
"I ain't neva seen 50 apologize for nothing, but in the last month, he's done it twice",2019-08-20 10:00:00,34.1826,-118.4397,0
@safesolvent & @danorst,2019-08-20 10:00:00,34.1826,-118.4397,0
Open challenge: Find a photo on the internet of multiple human beings having a conversation in a conversation pit (popular in the 70’s and in the Midcentury Modern design aesthetic). This is the reference image search from hell.,2019-08-20 10:00:00,34.1826,-118.4397,0
I know WWE is doing something to Bray Wyatt and the Universal Title. Regardless I'm personally not a fan of these kind of announcements. I would hope there would be like a contenders match but whatever....it's a minor complaint.,2019-08-20 10:00:00,34.1826,-118.4397,0
"I just watched the most heartwarming film about life, love and the inextricable connection we share with the unlikeliest of people. You'll laugh, you'll cry and then you'll cry some more. Hands down, @tpbfalcon, is the best film I've seen all year. #ThePeanutButterFalconpic.twitter.com/ZJDFudDld1",2019-08-20 10:00:00,34.1826,-118.4397,0
Wait are they fingers or toes. Asking for a friend,2019-08-20 10:00:00,34.1826,-118.4397,0
"I don't get you. You stan for the Chiefs every time you're in front of a camera, but then can't pick them all the way.",2019-08-20 10:00:00,34.1826,-118.4397,0
My dad swears by baking soda for those.,2019-08-20 10:00:00,34.1826,-118.4397,0
The conclusion I’ve come to: I don’t like **** *https://twitter.com/creamisery/status/1169761207332458496 …,2019-08-20 10:00:00,34.1826,-118.4397,0
Hmmmmmmm.pic.twitter.com/6nly48jrLj,2019-08-20 10:00:00,34.1826,-118.4397,0
I went into nature for 1 minute and now there's an acorn in my shoe,2019-08-20 10:00:00,34.1826,-118.4397,0
This was probably my 4th time doing heels ever. I’ve found a new passion. Stay tuned...pic.twitter.com/iUJUFNFhLT,2019-08-20 10:00:00,34.1826,-118.4397,0
Who has that pic that says I May Be Stupid and has no bottom text,2019-08-20 10:00:00,34.1826,-118.4397,0
Hate to see it,2019-08-20 10:00:00,34.1826,-118.4397,0
"Damn, Once Upon A Time In... Hollywood only got a 7 minute standing ovation.https://twitter.com/jokermovie/status/1169759859266527232 …",2019-08-20 10:00:00,34.1826,-118.4397,0
I had just turned 18 & started dating some 24 yr old who ended up having a whole ass wife & two kids. manipulated tf out me. The whole thing was gross. Didn’t even have a date to prom bc he was too old to come. Smh https://twitter.com/abbygov/status/1169665218638729216 …,2019-08-20 10:00:00,34.1826,-118.4397,0
"Just posted a photo @Los Angeles, California https://www.instagram.com/p/B2DH-q0A7Ow/?igshid=11gppc62nx2mc …",2019-08-20 10:00:00,34.1826,-118.4397,0
